# time,position
4.284284284284284539e+00,2.931457478194394173e-01
4.294294294294294545e+00,2.945134684588200380e-01
4.304304304304304551e+00,2.958564305849967768e-01
4.314314314314314558e+00,2.971741723661820433e-01
4.324324324324324564e+00,2.984662483035395719e-01
4.334334334334334571e+00,2.997322292311843106e-01
4.344344344344344577e+00,3.009717023161824212e-01
4.354354354354354584e+00,3.021842710585515568e-01
4.364364364364364590e+00,3.033695552912604176e-01
4.374374374374374597e+00,3.045271911802291953e-01
4.384384384384384603e+00,3.056568312243292951e-01
4.394394394394394610e+00,3.067581442553832805e-01
4.404404404404404616e+00,3.078308154381651507e-01
4.414414414414414622e+00,3.088745462704001188e-01
4.424424424424424629e+00,3.098890545827647780e-01
4.434434434434434635e+00,3.108740745388868243e-01
4.444444444444444642e+00,3.118293566353453894e-01
4.454454454454454648e+00,3.127546677016708743e-01
4.464464464464464655e+00,3.136497909003448936e-01
4.474474474474474661e+00,3.145145257268003314e-01
4.484484484484484668e+00,3.153486880094215072e-01
4.494494494494494674e+00,3.161521099095438436e-01
4.504504504504504681e+00,3.169246399214541432e-01
4.514514514514514687e+00,3.176661428723904779e-01
4.524524524524524693e+00,3.183764999225421888e-01
4.534534534534534700e+00,3.190556085650499418e-01
4.544544544544544706e+00,3.197033826260056166e-01
4.554554554554554713e+00,3.203197522644524176e-01
4.564564564564564719e+00,3.209046639723848737e-01
4.574574574574574726e+00,3.214580805747487280e-01
4.584584584584584732e+00,3.219799812294409924e-01
4.594594594594594739e+00,3.224703614273100039e-01
4.604604604604604745e+00,3.229292329921554794e-01
4.614614614614614752e+00,3.233566240807281833e-01
4.624624624624624758e+00,3.237525791827303712e-01
4.634634634634634764e+00,3.241171591208155123e-01
4.644644644644644771e+00,3.244504410505883452e-01
4.654654654654654777e+00,3.247525184606048776e-01
4.664664664664664784e+00,3.250235011723724976e-01
4.674674674674674790e+00,3.252635153403497514e-01
4.684684684684684797e+00,3.254727034519465101e-01
4.694694694694694803e+00,3.256512243275240248e-01
4.704704704704704810e+00,3.257992531203946496e-01
4.714714714714714816e+00,3.259169813168221186e-01
4.724724724724724823e+00,3.260046140243605950e-01
4.734734734734734829e+00,3.260618725470852408e-01
4.744744744744744835e+00,3.260885459492758875e-01
4.754754754754754842e+00,3.260847728281150437e-01
4.764764764764764848e+00,3.260507016310295603e-01
4.774774774774774855e+00,3.259864906556902975e-01
4.784784784784784861e+00,3.258923080500124025e-01
4.794794794794794868e+00,3.257683318121553095e-01
4.804804804804804874e+00,3.256147497905225174e-01
4.814814814814814881e+00,3.254317596837618121e-01
4.824824824824824887e+00,3.252195690407651552e-01
4.834834834834834894e+00,3.249783952606687398e-01
4.844844844844844900e+00,3.247084655928528241e-01
4.854854854854854906e+00,3.244100171369421193e-01
4.864864864864864913e+00,3.240832968428053462e-01
4.874874874874874919e+00,3.237285615105554570e-01
4.884884884884884926e+00,3.233460777905496353e-01
4.894894894894894932e+00,3.229361221833892959e-01
4.904904904904904939e+00,3.224989810399200296e-01
4.914914914914914945e+00,3.220349505612316032e-01
4.924924924924924952e+00,3.215443367986580148e-01
4.934934934934934958e+00,3.210274556537774382e-01
4.944944944944944965e+00,3.204846328784122789e-01
4.954954954954954971e+00,3.199162040746292290e-01
4.964964964964964977e+00,3.193225146947389348e-01
4.974974974974974984e+00,3.187039200412965512e-01
